,value
Baseline,6.53520768791704
Latency_a,0.06666666666666667
Latency_b,0.23333333333333334
T2MaxVel,10.566666666666666
T2MaxCon,1.3333333333333333
T2Rec75pc,2.9833333333333334
PeakCon,3.138193052080295
ConAmplitude,3.3970146358367455
VelConMax,20.801363042045207
VelConAve,3.5945621667626253
AccConMax,1635.8628832330003
ConTime,1.2666666666666666
VelRedAve,7.038143217576799
VelRedMax,163.76949214040482
AccRedMax,16939.490015166022
