,colour,onset,event,timestamp,confidence,id,diameter,diameter_3d,orig_idx,diameter_3d_pc,diameter_pc
0,blue,-1.0,2.0,31283.547724666667,0.7484431825203043,1.0,59.0054096357598,6.71709498049838,12122.0,0.043888800965337836,0.48387754369744923
1,blue,-0.9833333333333333,2.0,31283.573698333334,0.9688073503471668,1.0,50.50145687334622,5.7393049010218675,12123.0,-14.963359965309786,-14.436063825090526
2,blue,-0.9666666666666667,2.0,31283.595745666666,0.8170935093297141,1.0,57.04571789956168,6.507135063863765,12124.0,-3.1797822222412715,-2.955896494042372
3,blue,-0.95,2.0,31283.627891333337,0.7789132273706203,1.0,58.7685801487294,6.720300130248699,12125.0,0.0889128079990605,0.0640199957220644
4,blue,-0.9333333333333333,2.0,31283.652556,0.7888270219399667,1.0,59.38515944543548,6.800882495961393,12126.0,1.3222067933117199,1.1426657236609887
5,blue,-0.9166666666666666,2.0,31283.678716333332,0.7956206512089276,1.0,59.303503567931955,6.789778225739454,12127.0,1.1502827425252844,0.9976031472539707
6,blue,-0.9,2.0,31283.705460666668,0.7924038820803613,1.0,59.559295562980886,6.823005439028731,12128.0,1.6612780641836133,1.447510867694124
7,blue,-0.8833333333333333,2.0,31283.727701666667,0.9966666666666667,1.0,58.54557407550274,6.690839900519914,12129.0,-0.3687676147314615,-0.33238951040989545
8,blue,-0.8666666666666667,2.0,31283.747582,0.9814360936482748,1.0,58.55713557492311,6.692101756414451,12130.0,-0.3454524196081536,-0.3084941347923105
9,blue,-0.85,2.0,31283.760296333334,0.9771675268809,1.0,58.53216753990582,6.689258918053359,12131.0,-0.38629236833151265,-0.3496443792493327
10,blue,-0.8333333333333334,2.0,31283.780976666665,0.9972008864084879,1.0,58.5961013869138,6.696850205515062,12132.0,-0.2736112294636772,-0.24108911068606576
11,blue,-0.8166666666666667,2.0,31283.799962,0.98544309536616,1.0,58.5099167455046,6.686340138957122,12133.0,-0.42824935560282035,-0.3860209234873624
12,blue,-0.8,2.0,31283.815619666664,0.9738971789677938,1.0,58.62545430805676,6.70071161683693,12134.0,-0.21711561128945345,-0.19212974939663377
13,blue,-0.7833333333333333,2.0,31283.836577333335,0.9700372815132141,1.0,58.60936108072729,6.6983751577331825,12135.0,-0.25548226379382327,-0.2226990410504263
14,blue,-0.7666666666666667,2.0,31283.854573333334,0.9891946117083231,1.0,58.696681191416054,6.7090582412140725,12136.0,-0.09430655301223927,-0.07187569155531204
15,blue,-0.75,2.0,31283.875041666663,0.9809999465942383,1.0,58.65275773053795,6.7038299823991885,12137.0,-0.17110112769584962,-0.14542222374040645
16,blue,-0.7333333333333333,2.0,31283.891953333336,0.9758364160855612,1.0,58.62047264339038,6.701853770590411,12138.0,-0.20507429676112446,-0.20371997607355752
17,blue,-0.7166666666666667,2.0,31283.916793666667,0.9766369064648946,1.0,58.245507586110826,6.657479470568465,12139.0,-0.8774107692835894,-0.8495945202416108
18,blue,-0.7,2.0,31283.93594766666,0.7401842302099384,1.0,60.13543926972094,6.8886025260916215,12140.0,2.656827078222701,2.4541527793161544
19,blue,-0.6833333333333333,2.0,31283.959685666665,0.730449452594169,1.0,58.72564319550103,6.704283780152846,12141.0,-0.17590353757265254,-0.022985440903848058
20,blue,-0.6666666666666666,2.0,31283.982794333337,0.7645107758688293,1.0,58.173364964684616,6.662199135303155,12142.0,-0.8198888555240388,-0.9899786861466012
21,blue,-0.65,2.0,31284.006444,0.7552339727271962,1.0,59.39272816556282,6.769964465523773,12143.0,0.8430762227593166,1.1574701716146791
22,blue,-0.6333333333333333,2.0,31284.031382,0.7883278888829253,1.0,58.412300591911,6.681577058956773,12144.0,-0.5135588354514479,-0.5625262565304712
23,blue,-0.6166666666666667,2.0,31284.051777999997,0.9870864319801331,1.0,58.628146623906765,6.705305760957759,12145.0,-0.1552069900935371,-0.18935391297263404
24,blue,-0.6,2.0,31284.069792333332,0.9932864705721537,1.0,58.649215210638005,6.707908631721865,12146.0,-0.109451929622791,-0.14717495428249924
25,blue,-0.5833333333333334,2.0,31284.090267333333,0.9530299305915833,1.0,58.792362664534984,6.7258032955858456,12147.0,0.15690977963679353,0.09655598536529493
26,blue,-0.5666666666666667,2.0,31284.114041666664,0.9791554609934489,1.0,58.89204108670535,6.738130554979532,12148.0,0.3491400217393507,0.2742487038370693
27,blue,-0.55,2.0,31284.13297533333,0.9869115948677063,1.0,58.90667321860264,6.740044944903084,12149.0,0.38231001806186365,0.30333150372907997
28,blue,-0.5333333333333333,2.0,31284.14972033333,0.9713791211446127,1.0,58.928936621677735,6.7432761472220895,12150.0,0.4291378924482947,0.3400229772882642
29,blue,-0.5166666666666667,2.0,31284.168063666668,1.0,1.0,58.88004832134436,6.7375727854636125,12151.0,0.343204248820117,0.2560210016800994
30,blue,-0.5,2.0,31284.189952999997,1.0,1.0,58.93222395281024,6.743812396313326,12152.0,0.4372553072457208,0.34560101888535905
31,blue,-0.48333333333333334,2.0,31284.212088,0.9805586735407511,1.0,58.89946338010054,6.7391585421531675,12153.0,0.37136229815175986,0.2928914128933961
32,blue,-0.4666666666666667,2.0,31284.230858,0.9845611453056335,1.0,58.86506653460975,6.734919645552698,12154.0,0.307250683252495,0.23344409735467733
33,blue,-0.45,2.0,31284.251353999996,0.983233114083608,1.0,58.87153907417931,6.73567233377864,12155.0,0.31984846049704824,0.24578067562420017
34,blue,-0.43333333333333335,2.0,31284.270536,0.9850888252258301,1.0,58.94564479799889,6.744883699603574,12156.0,0.4570816322120419,0.37197646331482703
