event,onset,timestamp,confidence,id,diameter,diameter_3d,orig_idx,diameter_3d_pc,diameter_pc,colour
0,-1.0,31030.708884,1.0,1,58.99846473036612,6.757996097639315,49,-0.37521134866734807,-0.3726416638728858,blue
0,-0.9833333333333333,31030.727981,1.0,1,58.975263113927504,6.75505005976146,50,-0.4186411460066375,-0.4118209165105968,blue
0,-0.9666666666666667,31030.74744,1.0,1,58.809271887929,6.734276389050308,51,-0.7248817126198404,-0.6921208773449039,blue
0,-0.95,31030.76737,0.948843479156494,1,58.84405024313795,6.738586317800142,52,-0.6613457569014658,-0.6333926431005277,blue
0,-0.9333333333333333,31030.784386,0.986506164073944,1,58.95776796984818,6.753122527559436,53,-0.44705637227648864,-0.4413639732036678,blue
0,-0.9166666666666666,31030.808391,1.0,1,58.84900470482545,6.738894080896793,54,-0.656808785731966,-0.6250263248893995,blue
0,-0.9,31030.82866,1.0,1,58.92507710774385,6.748417867321457,55,-0.5164113667324166,-0.49656717633901337,blue
0,-0.8833333333333333,31030.846938,1.0,1,58.92761718561445,6.748306116302656,56,-0.5180587739621378,-0.4922778910267267,blue
0,-0.8666666666666667,31030.869929,0.9443082809448242,1,58.940297628493774,6.749813015993578,57,-0.4958444132170503,-0.4708651469430891,blue
0,-0.85,31030.87873,0.9605430364608764,1,58.851148063195225,6.739214317779981,58,-0.6520879289358184,-0.6214069572783143,blue
0,-0.8333333333333334,31030.898357,0.991602659225464,1,58.97532030917329,6.753738898367248,59,-0.43796997882908917,-0.4117243341457244,blue
0,-0.8166666666666667,31030.919201,1.0,1,58.84615544002976,6.738244333321937,60,-0.6663872116272396,-0.629837716611048,blue
0,-0.8,31030.938559,0.9599103927612304,1,58.90691127307255,6.746088825279645,61,-0.55074555660517,-0.5272427901629295,blue
0,-0.7833333333333333,31030.957192,0.9304280877113342,1,58.98221820986591,6.755444232084335,62,-0.4128303503519337,-0.40007624080615756,blue
0,-0.7666666666666667,31030.975765,0.9840134382247924,1,59.15404259588409,6.776308785473084,63,-0.10525001268575362,-0.10992615376655968,blue
0,-0.75,31030.996563,0.9541847705841064,1,59.09191305911143,6.76915353235819,64,-0.2107310708306609,-0.21484077572487825,blue
0,-0.7333333333333333,31031.019482,1.0,1,59.1273351885217,6.772972427057361,65,-0.1544338235712983,-0.1550254365306536,blue
0,-0.7166666666666667,31031.040674,0.9888386130332948,1,59.18546119737325,6.780008271262124,66,-0.050713063488572185,-0.05687134491202395,blue
0,-0.7,31031.055199,0.9772409796714784,1,59.26589843009176,6.790241611598745,67,0.10014443235832893,0.07895844395175988,blue
0,-0.6833333333333333,31031.07206,0.989303469657898,1,59.20432901522051,6.782653893224268,68,-0.011711926905799697,-0.025010331947028508,blue
0,-0.6666666666666666,31031.08439,0.9925642609596252,1,59.32589728555572,6.797910700202188,69,0.2132003323955134,0.18027510533242808,blue
0,-0.65,31031.10656,0.9671798944473268,1,59.090673462589,6.7684849858579454,70,-0.22058662606155854,-0.21693401200647555,blue
0,-0.6333333333333333,31031.126082,1.0,1,59.14498287060104,6.775495669714415,71,-0.11723677391439757,-0.12522479757579585,blue
0,-0.6166666666666667,31031.139657,1.0,1,59.21180224186672,6.783861527389722,72,0.006090731865127097,-0.012390718328059158,blue
0,-0.6,31031.155527,0.9798594117164612,1,59.12335155860944,6.77257913677982,73,-0.16023161632118255,-0.16175236623230393,blue
0,-0.5833333333333334,31031.171737,0.9519450068473816,1,59.3430755395539,6.800143556629274,74,0.2461165765636375,0.20928304773375483,blue
0,-0.5666666666666667,31031.193689,0.9939031600952148,1,59.41139105297279,6.808094858782953,75,0.3633328023675997,0.3246435773069489,blue
0,-0.55,31031.210586,0.988002359867096,1,59.284451493029934,6.792138497893271,76,0.1281078838693217,0.11028794816889675,blue
0,-0.5333333333333333,31031.225306,0.9677534699440002,1,59.43119328675055,6.810499435550764,77,0.39878050740147497,0.3580824854115816,blue
0,-0.5166666666666667,31031.242123,1.0,1,59.4627757052438,6.814516280044721,78,0.4579958839678211,0.4114139227418212,blue
0,-0.5,31031.259667,1.0,1,59.414630181754966,6.808048296971608,79,0.3626463990984208,0.33011331021193246,blue
0,-0.48333333333333334,31031.280108,0.9703367352485656,1,59.34480207893838,6.798108349847391,80,0.2161140369679737,0.212198556785137,blue
0,-0.4666666666666667,31031.304521,1.0,1,59.30931508734556,6.793838283135341,81,0.1531657180330548,0.15227368850514456,blue
0,-0.45,31031.32333,0.9768978953361512,1,59.3580006947483,6.799186454969762,82,0.23200720905749428,0.23448631008253784,blue
0,-0.43333333333333335,31031.339287,0.9651468396186828,1,59.400165404481925,6.804947797901108,83,0.316939571194208,0.3056874619255412,blue
0,-0.4166666666666667,31031.36117,0.9448928236961364,1,59.3425304396642,6.797819360674639,84,0.21185382656803142,0.20836256849268153,blue
0,-0.4,31031.380231,0.9696593284606934,1,59.347619179575815,6.79786420132703,85,0.21251485691680116,0.21695563471857415,blue
0,-0.38333333333333336,31031.405021,0.9853982329368592,1,59.36930320126214,6.800789820332033,86,0.2556436440360521,0.2535722112444905,blue
0,-0.36666666666666664,31031.420114,1.0,1,59.276126377783065,6.78974757948505,87,0.09286152715941576,0.096229798627534,blue
0,-0.35,31031.440974,1.0,1,59.235612871123664,6.78475775391674,88,0.019302692488931683,0.027816939685276765,blue
0,-0.3333333333333333,31031.460677,0.9871227145195008,1,59.34449831236437,6.79799345839186,89,0.21442033415877138,0.21168560341495724,blue
0,-0.31666666666666665,31031.479623,0.9917567372322084,1,59.27250638494338,6.789465449873439,90,0.08870243879608442,0.09011692220843859,blue
