,colour,onset,event,timestamp,confidence,id,diameter,diameter_3d,orig_idx,diameter_3d_pc,diameter_pc
0,blue,-1.0,2.0,163463.40236933331,0.9544423818588257,1.0,60.641204260184246,5.571088780235979,8511.666666666666,1.1907610567069016,1.1254102812315276
1,blue,-0.9833333333333333,2.0,163463.423704,0.9457016388575236,1.0,60.761354840234645,5.58395264191213,8512.666666666666,1.392267219505694,1.315137532282799
2,blue,-0.9666666666666667,2.0,163463.44499833332,0.9444102048873901,1.0,60.76194008348309,5.583886721587895,8513.666666666666,1.410399798796284,1.3250035111309177
3,blue,-0.95,2.0,163463.46360066664,0.9597294727961222,1.0,60.72067037174967,5.580198616246264,8514.666666666666,1.340604165600623,1.2547810314226175
4,blue,-0.9333333333333333,2.0,163463.48300733333,0.9139894843101501,1.0,60.73382408095037,5.58141375253723,8515.666666666666,1.3661201641937144,1.2780381806033914
5,blue,-0.9166666666666666,2.0,163463.50380233332,0.9537744720776876,1.0,60.72623436315144,5.580623944985111,8516.666666666666,1.3443659881634613,1.2636943796576834
6,blue,-0.9,2.0,163463.52703466665,0.9597999850908915,1.0,60.814021510379405,5.589053153184602,8517.666666666666,1.4974429249082617,1.4104595633714319
7,blue,-0.8833333333333333,2.0,163463.558984,0.9556617339452108,1.0,60.84474752783592,5.592647744781417,8518.666666666666,1.5504319051990345,1.457139450941643
8,blue,-0.8666666666666667,2.0,163463.5838843333,0.9461199641227722,1.0,60.62725916896477,5.571032130676657,8519.666666666666,1.163192158022756,1.0940397382972848
9,blue,-0.85,2.0,163463.60474933332,0.9755201538403829,1.0,60.73571205699242,5.580875570678015,8520.666666666666,1.3449896271720736,1.2773977110542252
10,blue,-0.8333333333333334,2.0,163463.62695366665,0.9554389715194702,1.0,60.716062842831604,5.578289389346996,8521.666666666666,1.307145289099106,1.2506873454201983
11,blue,-0.8166666666666667,2.0,163463.64902066663,0.963317890961965,1.0,60.605121518144415,5.568120152722727,8522.666666666666,1.1114425141790434,1.0598878998464567
12,blue,-0.8,2.0,163463.671099,0.963307241598765,1.0,60.56110093772825,5.563800400812098,8523.666666666666,1.0361542914312682,0.9868363236027022
13,blue,-0.7833333333333333,2.0,163463.69316566666,0.9487751126289368,1.0,60.497810901629244,5.5567938885083805,8524.666666666666,0.9247529083535581,0.8865265005414624
14,blue,-0.7666666666666667,2.0,163463.7121363333,0.9556493759155273,1.0,60.62324641671588,5.569607128236839,8525.666666666666,1.1377105029197532,1.08955167546169
15,blue,-0.75,2.0,163463.73525633334,0.9422825773557028,1.0,60.47983335260733,5.554823294414951,8526.666666666666,0.883943612584881,0.8561487860617648
16,blue,-0.7333333333333333,2.0,163463.75969866666,0.9570253690083822,1.0,60.28630112577229,5.534571339281018,8527.666666666666,0.49509768323978687,0.5244001953725727
17,blue,-0.7166666666666667,2.0,163463.777799,0.9542125034332275,1.0,60.13577417476822,5.517184084722952,8528.666666666666,0.1274259029485192,0.2516744981920079
18,blue,-0.7,2.0,163463.79930299998,0.9293787802735545,1.0,53.27790537917739,4.903380261964846,8529.666666666666,-11.805821349601436,-11.604279805951224
19,blue,-0.6833333333333333,2.0,163463.82082366664,0.7351934267863639,1.0,60.93002953049722,5.601870390922046,8530.666666666666,1.8026094603165472,1.638022474172418
20,blue,-0.6666666666666666,2.0,163463.85049133332,0.7298399625952031,1.0,60.37602690647083,5.582457272501845,8531.666666666666,1.4256428377836878,0.6807852114525245
21,blue,-0.65,2.0,163463.88291566665,0.9003116171007887,1.0,54.03180076523082,4.968016848261718,8532.666666666666,-10.521362372324303,-10.288302816530882
22,blue,-0.6333333333333333,2.0,163463.90630299997,0.6724379536991746,1.0,58.56548279208087,5.472214008651206,8533.666666666666,-0.7071583167088521,-2.4474975863314667
23,blue,-0.6166666666666667,2.0,163463.929891,0.6716705179456536,1.0,56.43294203285251,5.296496124775154,8534.666666666666,-4.134472233560394,-6.135783555991874
24,blue,-0.6,2.0,163463.95497533333,0.9602110552787781,1.0,59.818701966464396,5.4839500749844055,8535.666666666666,-0.47765181639415344,-0.27228442440343503
25,blue,-0.5833333333333334,2.0,163463.97770433335,0.9226511883735657,1.0,59.90687382024813,5.487579778235194,8536.666666666666,-0.3871473434814939,-0.09695150239188803
26,blue,-0.5666666666666667,2.0,163463.9991103333,0.6815819337270032,1.0,60.876474496104926,5.573268838816898,8537.666666666666,1.2339083828648862,1.5066299441973907
27,blue,-0.55,2.0,163464.02742033332,0.701248266492375,1.0,59.46868320936985,5.493550415902358,8538.666666666666,-0.25027047157453186,-0.8164004657883361
28,blue,-0.5333333333333333,2.0,163464.05510666667,0.9095154204733569,1.0,53.68298979869851,4.931348459789298,8539.666666666666,-10.706181279908222,-10.380341704311006
29,blue,-0.5166666666666667,2.0,163464.07796866665,0.6911115695668738,1.0,58.41473947869495,5.432798079941812,8540.666666666666,-1.3901794407381038,-2.562454899851163
30,blue,-0.5,2.0,163464.10075733333,0.9405346083641053,1.0,59.9764725717989,5.491825878805174,8541.666666666666,-0.2748324348769778,0.02878979810155095
31,blue,-0.48333333333333334,2.0,163464.1178243333,0.9499175151189169,1.0,60.39633659578269,5.531147440410174,8542.666666666666,0.43141857809848955,0.723554134487329
32,blue,-0.4666666666666667,2.0,163464.13773633333,0.969774067401886,1.0,60.218779845822354,5.516784318584958,8543.666666666666,0.19014474800020942,0.4260856226057467
33,blue,-0.45,2.0,163464.16234533332,0.9695702989896139,1.0,60.23291845676855,5.517252464914613,8544.666666666666,0.20023601880786815,0.4516190040072014
