event,onset,timestamp,confidence,id,diameter,diameter_3d,orig_idx,diameter_3d_pc,diameter_pc
0,-1.0,774698.780005,0.8733678460121155,1,59.86477553868791,4.171069557540041,74,-0.583462570950688,-0.9144168424246368
0,-0.9833333333333333,774698.7937169999,0.8754151463508606,1,60.02082410514136,4.173617311387172,75,-0.522737411082419,-0.656132015181754
0,-0.9666666666666667,774698.807086,0.8542066216468811,1,60.03689745002489,4.174289884765688,76,-0.5067067706107986,-0.6295281110203166
0,-0.95,774698.8215579999,0.8095818161964417,1,60.00921947104745,4.171464396795866,77,-0.574051663001629,-0.6753395028266773
0,-0.9333333333333333,774698.8372289999,0.8279440999031067,1,60.035871698965735,4.1742089177688015,78,-0.5086366014049104,-0.6312258897383738
0,-0.9166666666666666,774698.851085,0.8399502038955688,1,60.1414449696724,4.182096726639197,79,-0.3206323893007679,-0.45648558544938433
0,-0.9,774698.861668,0.8345540165901184,1,60.081622028450624,4.178161109531213,80,-0.41443696870775426,-0.5555019262578509
0,-0.8833333333333333,774698.878163,0.7954795360565186,1,59.94600163599692,4.167843029407883,81,-0.6603661685511519,-0.7799749248352805
0,-0.8666666666666667,774698.894307,0.8304660320281982,1,60.11456264539973,4.179559327465791,82,-0.3811107477686537,-0.5009800440557988
0,-0.85,774698.90054,0.867065966129303,1,60.225871594970016,4.187464066172197,83,-0.1927030166984145,-0.3167462925786624
0,-0.8333333333333334,774698.910938,0.7994080185890198,1,60.100118832546165,4.177382882006925,84,-0.43298585280795443,-0.5248868173918009
0,-0.8166666666666667,774698.925244,0.8703887462615967,1,60.07494826853603,4.175713144055334,85,-0.47278369440975077,-0.566548044564319
0,-0.8,774698.9321249999,0.8650704622268677,1,60.23233361280728,4.186137320360007,86,-0.22432571511588062,-0.3060506405860086
0,-0.7833333333333333,774698.943863,0.8444811105728149,1,60.383961406253285,4.196688324126855,87,0.027155169206616314,-0.05508288531923533
0,-0.7666666666666667,774698.963126,0.9185163378715516,1,60.25289911918555,4.186531444059908,88,-0.21493186228691563,-0.27201150531681595
0,-0.75,774698.97756,0.868363082408905,1,60.24247665860478,4.184201174079524,89,-0.2704733414036875,-0.28926231057399
0,-0.7333333333333333,774698.992182,0.8292412161827087,1,60.18859657326397,4.177552861711504,90,-0.4289344234492787,-0.3784422937700094
0,-0.7166666666666667,774699.0066419999,0.8171003460884094,1,60.29218309968256,4.184216566466241,91,-0.27010646720773135,-0.2069903625618097
0,-0.7,774699.021967,0.8928104639053345,1,60.26529822756289,4.18432765137296,92,-0.2674587825709174,-0.25148903825421565
0,-0.6833333333333333,774699.034769,0.9127945303916932,1,60.428233242329455,4.195166987688278,93,-0.009105554548161088,0.018193939918820234
0,-0.6666666666666666,774699.045773,0.781434953212738,1,60.16961285477656,4.17532092393886,94,-0.482132175740968,-0.40986332224457467
0,-0.65,774699.057712,0.8356561660766602,1,60.310388032629305,4.185900910044552,95,-0.22996050366372867,-0.17685834617753304
0,-0.6333333333333333,774699.074074,0.8354069590568542,1,60.3297140978281,4.186565642728403,96,-0.21411674444735684,-0.14487068025659244
0,-0.6166666666666667,774699.089663,0.8455935120582581,1,60.52932301794032,4.200866179447237,97,0.12673344381992635,0.18551335734815488
0,-0.6,774699.104252,0.815820574760437,1,60.43223486897509,4.19368577896055,98,-0.044409843025983164,0.024817258994080937
0,-0.5833333333333334,774699.1182329999,0.8539807796478271,1,60.42244833824896,4.193083718347283,99,-0.058759827045118396,0.008619017284128283
0,-0.5666666666666667,774699.131548,0.8546106815338135,1,60.35910547874597,4.188401409867559,100,-0.17036163320232056,-0.09622333978220876
0,-0.55,774699.144796,0.8572492599487305,1,60.29138344768487,4.184159586403709,101,-0.2714645746286881,-0.20831391190783144
0,-0.5333333333333333,774699.157593,0.8163266777992249,1,60.42623294017989,4.19367962342986,102,-0.044556558763697574,0.014883126453013595
0,-0.5166666666666667,774699.167435,0.8880721926689148,1,60.35265974256856,4.188480007953204,103,-0.16848826489341828,-0.10689204307676725
0,-0.5,774699.180607,0.8896236419677734,1,60.31834431981489,4.186183269623027,104,-0.22323052440669233,-0.1636894442905934
0,-0.48333333333333334,774699.1906099999,0.9234685897827148,1,60.33232628462891,4.187447868523319,105,-0.19308908414316095,-0.14054710182259678
0,-0.4666666666666667,774699.205095,0.8537071347236633,1,60.31151545332576,4.186183379271998,106,-0.2232279109472768,-0.17499228828009583
0,-0.45,774699.217179,0.8845478296279907,1,60.32281646067162,4.18777148772861,107,-0.18537569063779014,-0.1562873504755924
0,-0.43333333333333335,774699.233791,0.8805927038192749,1,60.3162093434288,4.187173489765635,108,-0.19962884226916167,-0.16722316471866616
0,-0.4166666666666667,774699.252092,0.9045364856719972,1,60.23476545382928,4.181033657652379,109,-0.3459704078256798,-0.30202556267261427
0,-0.4,774699.2730769999,0.8882315754890442,1,60.49648630644146,4.200091142741279,110,0.10826061218194294,0.13116345494621484
0,-0.38333333333333336,774699.285279,0.8558288812637329,1,60.579255880157234,4.206045622286146,111,0.25018433950809715,0.2681600678213547
0,-0.36666666666666664,774699.29897,0.8582367300987244,1,60.525508508620725,4.202445407238753,112,0.16437399540469855,0.17919974676510186
0,-0.35,774699.3133479999,0.8789126873016357,1,60.5445545427994,4.203916055038212,113,0.19942656644982293,0.2107239174723663
0,-0.3333333333333333,774699.336409,0.8419286608695984,1,60.49755196938571,4.200705540958848,114,0.1229046603212991,0.1329272940875148
0,-0.31666666666666665,774699.349906,0.8735918402671814,1,60.51289190442981,4.201998917562865,115,0.15373201090593813,0.15831729005368889
