event,onset,timestamp,confidence,id,diameter,diameter_3d,orig_idx,diameter_3d_pc,diameter_pc,colour
0,-1.0,218719.935799,0.8323997259140015,1,66.54767967161237,1.8202721235035724,35,9.934874167833074,10.998663875908088,red
0,-0.9833333333333333,218719.94938,0.8110503554344177,1,66.46208346283298,1.817768224272502,36,9.783651807537396,10.85589308578827,red
0,-0.9666666666666667,218719.975821,0.8092220425605774,1,66.8324952634608,1.8262822594778,37,10.29785480876415,11.473724017782372,red
0,-0.95,218719.997941,0.759327232837677,1,66.66121697179706,1.822025216790524,38,10.040751793171076,11.18803920323379,red
0,-0.9333333333333333,218720.022316,0.765302836894989,1,66.79647871037787,1.82534531841432,39,10.241268490385513,11.41364995826073,red
0,-0.9166666666666666,218720.039733,0.783616304397583,1,66.68984751282098,1.822832254919632,40,10.089492656708199,11.235793712713038,red
0,-0.9,218720.058355,0.7891224026679993,1,66.64083462695147,1.8213454989882631,41,9.999700408547675,11.154042329778813,red
0,-0.8833333333333333,218720.077822,0.7478159666061401,1,66.55431769806154,1.8189736505935312,42,9.856453225089123,11.009735818164623,red
0,-0.8666666666666667,218720.096421,0.7056398987770081,1,66.66848131851916,1.821994191630876,43,10.038878036506937,11.20015582073366,red
0,-0.85,218720.117364,0.7816475033760071,1,66.66859850171593,1.8221952331727684,44,10.051019889543689,11.20035127725949,red
0,-0.8333333333333334,218720.1363,0.7803303003311157,1,66.63151503035468,1.82081983456752,45,9.967953038908428,11.13849764399546,red
0,-0.8166666666666667,218720.149999,0.7325931191444397,1,66.66439051473522,1.8222483219981989,46,10.054226175718185,11.19333253618886,red
0,-0.8,218720.169768,0.786619246006012,1,66.53262015866376,1.818384309801268,47,9.8208601371091,10.97354525683427,red
0,-0.7833333333333333,218720.18209,0.7921134829521179,1,66.68613037066953,1.8223378463337696,48,10.059632975305366,11.229593679679816,red
0,-0.7666666666666667,218720.202283,0.7426828145980835,1,66.69236156773624,1.8229604063616172,49,10.09723233061035,11.239987048046164,red
0,-0.75,218720.222921,0.7378281354904175,1,66.64810672847088,1.8217798539634096,50,10.025933167331559,11.16617188194664,red
0,-0.7333333333333333,218720.236975,0.7706273794174194,1,66.83790994523073,1.8264598482528407,51,10.308580237883035,11.482755473796203,red
0,-0.7166666666666667,218720.259037,0.7644504308700562,1,66.64919486646389,1.8213264988308853,52,9.998552898851987,11.167986849259282,red
0,-0.7,218720.28241,0.731584370136261,1,66.4258209033332,1.8181468960684997,53,9.806521594810613,10.79540869815736,red
0,-0.6833333333333333,218720.320154,0.7992302179336548,1,66.49066586553892,1.8200820524952928,54,9.92339487739713,10.903567302626161,red
0,-0.6666666666666666,218720.338591,0.0,1,3.724802144182149e-06,0.1608849755486856,55,-90.28339262351784,-99.99999378719043,red
0,-0.65,218720.365005,0.7023283243179321,1,66.36564014442754,1.8169890777767348,56,9.736595452136187,10.695029783933307,red
0,-0.6333333333333333,218720.38668,0.7539740800857544,1,66.47109572834785,1.819630226929834,57,9.896106986733333,10.870925156561917,red
0,-0.6166666666666667,218720.407114,0.7415171265602112,1,66.2982977878176,1.8149269780318336,58,9.612055459983315,10.582705633146317,red
0,-0.6,218720.43216,0.7099922895431519,1,66.34880036186425,1.8161142132280463,59,9.683758229156126,10.666941751807911,red
0,-0.5833333333333334,218720.451392,0.7023071646690369,1,66.35973592393226,1.8162419025754304,60,9.69146999497179,10.68518179840716,red
0,-0.5666666666666667,218720.471935,0.7219889760017395,1,66.38485561970913,1.8168303681781888,61,9.727010226103182,10.727080369205733,red
0,-0.55,218720.490318,0.708349347114563,1,66.33096155980809,1.8152963159130036,62,9.634361527833036,10.637187398190306,red
0,-0.5333333333333333,218720.519206,0.7973616123199463,1,66.44755481618077,1.8184684427583968,63,9.825941325759914,10.831659928835569,red
0,-0.5166666666666667,218720.549669,0.7200128436088562,1,66.44084970779525,1.8187774293349557,64,9.844602491843224,10.820476096798037,red
0,-0.5,218720.57292,0.7444708347320557,1,66.52441914974126,1.82052282847938,65,9.950015431390757,10.959866327120649,red
0,-0.48333333333333334,218720.600035,0.7860404849052429,1,66.52973331499996,1.820756334518626,66,9.96411796952803,10.968730125922388,red
0,-0.4666666666666667,218720.620247,0.7464249134063721,1,66.55132444447256,1.821128747436315,67,9.986609753429999,11.00474320007998,red
0,-0.45,218720.640151,0.7247624397277832,1,66.53744212256389,1.8209793075593736,68,9.977584369887026,10.98158808496612,red
0,-0.43333333333333335,218720.665847,0.0,1,3.724802144182149e-06,0.1608849755486856,69,-90.28339262351784,-99.99999378719043,red
0,-0.4166666666666667,218720.691909,0.7428791522979736,1,66.56656909830602,1.821288470032316,70,9.996256159187912,11.030170626176815,red
0,-0.4,218720.712411,0.7408811450004578,1,66.61121832284202,1.8222463049743367,71,10.054104358072568,11.104643609923915,red
0,-0.38333333333333336,218720.732999,0.7677480578422546,1,66.60801398733885,1.8221892972308784,72,10.05066138983568,11.099298916296485,red
0,-0.36666666666666664,218720.752292,0.7854555249214172,1,66.59213766333204,1.8218039274338924,73,10.027387078488115,11.07281789155281,red
0,-0.35,218720.77528,0.7185243964195251,1,66.5859466415809,1.82166247472956,74,10.018844078213206,11.062491533882746,red
0,-0.3333333333333333,218720.793844,0.7207075953483582,1,66.68324454971395,1.8242709863652573,75,10.17638447820779,11.224780254601207,red
0,-0.31666666666666665,218720.819,0.0,1,3.724802144182149e-06,0.1608849755486856,76,-90.28339262351784,-99.99999378719043,red
0,-0.3,218720.83577,0.0,1,3.724802144182149e-06,0.1608849755486856,77,-90.28339262351784,-99.99999378719043,red
